生效日期,股票代码,股票名称
2020-01-20,SH_601318,中国平安
2020-01-20,SH_601319,中国人保
2020-01-20,SH_601328,交通银行
2020-01-20,SH_601336,新华保险
2020-01-20,SH_601360,三六零
2020-01-20,SH_601377,兴业证券
2020-01-20,SH_601390,中国中铁
2020-01-20,SH_601398,工商银行
2020-01-20,SH_601555,东吴证券
2020-01-20,SH_601577,长沙银行
2020-01-20,SH_601600,中国铝业
2020-01-20,SH_601601,中国太保
2020-01-20,SH_601607,上海医药
2020-01-20,SH_601618,中国中冶
2020-01-20,SH_601628,中国人寿
2020-01-20,SH_601633,长城汽车
2020-01-20,SH_601668,中国建筑
2020-01-20,SH_601669,中国电建
2020-01-20,SH_601688,华泰证券
2020-01-20,SH_601698,中国卫通
2020-01-20,SH_601727,上海电气
2020-01-20,SH_601766,中国中车
2020-01-20,SH_601788,光大证券
2020-01-20,SH_601800,中国交建
2020-01-20,SH_601808,中海油服
2020-01-20,SH_601818,光大银行
2020-01-20,SH_601828,美凯龙
2020-01-20,SH_601838,成都银行
2020-01-20,SH_601857,中国石油
2020-01-20,SH_601877,正泰电器
2020-01-20,SH_601878,浙商证券
2020-01-20,SH_601881,中国银河
2020-01-20,SH_601888,中国国旅
2020-01-20,SH_601898,中煤能源
2020-01-20,SH_601899,紫金矿业
2020-01-20,SH_601901,方正证券
2020-01-20,SH_601919,中远海控
2020-01-20,SH_601933,永辉超市
2020-01-20,SH_601939,建设银行
2020-01-20,SH_601985,中国核电
2020-01-20,SH_601988,中国银行
2020-01-20,SH_601989,中国重工
2020-01-20,SH_601992,金隅集团
2020-01-20,SH_601997,贵阳银行
2020-01-20,SH_601998,中信银行
2020-01-20,SH_603019,中科曙光
2020-01-20,SH_603156,养元饮品
2020-01-20,SH_603160,汇顶科技
2020-01-20,SH_603259,药明康德
2020-01-20,SH_603260,合盛硅业
2020-01-20,SH_603288,海天味业
2020-01-20,SH_603501,韦尔股份
2020-01-20,SH_603799,华友钴业
2020-01-20,SH_603833,欧派家居
2020-01-20,SH_603899,晨光文具
2020-01-20,SH_603986,兆易创新
2020-01-20,SH_603993,洛阳钼业
2020-01-20,SZ_000001,平安银行
2020-01-20,SZ_000002,万科A
2020-01-20,SZ_000063,中兴通讯
2020-01-20,SZ_000069,华侨城A
2020-01-20,SZ_000100,TCL集团
2020-01-20,SZ_000157,中联重科
2020-01-20,SZ_000166,申万宏源
2020-01-20,SZ_000333,美的集团
2020-01-20,SZ_000338,潍柴动力
2020-01-20,SZ_000413,东旭光电
2020-01-20,SZ_000415,渤海租赁
2020-01-20,SZ_000423,东阿阿胶
2020-01-20,SZ_000425,徐工机械
2020-01-20,SZ_000538,云南白药
2020-01-20,SZ_000568,泸州老窖
2020-01-20,SZ_000596,古井贡酒
2020-01-20,SZ_000625,长安汽车
2020-01-20,SZ_000627,天茂集团
2020-01-20,SZ_000629,攀钢钒钛
2020-01-20,SZ_000630,铜陵有色
2020-01-20,SZ_000651,格力电器
2020-01-20,SZ_000656,金科股份
2020-01-20,SZ_000661,长春高新
2020-01-20,SZ_000671,阳光城
2020-01-20,SZ_000703,恒逸石化
2020-01-20,SZ_000709,河钢股份
2020-01-20,SZ_000723,美锦能源
2020-01-20,SZ_000725,京东方A
2020-01-20,SZ_000728,国元证券
2020-01-20,SZ_000768,中航飞机
2020-01-20,SZ_000776,广发证券
2020-01-20,SZ_000783,长江证券
2020-01-20,SZ_000786,北新建材
2020-01-20,SZ_000858,五粮液
2020-01-20,SZ_000876,新希望
2020-01-20,SZ_000895,双汇发展
2020-01-20,SZ_000898,鞍钢股份
2020-01-20,SZ_000938,紫光股份
2020-01-20,SZ_000961,中南建设
2020-01-20,SZ_000963,华东医药
2020-01-20,SZ_001979,招商蛇口
2020-01-20,SZ_002001,新和成
2020-01-20,SZ_002007,华兰生物
2020-01-20,SZ_002008,大族激光
2020-01-20,SZ_002010,传化智联
2020-01-20,SZ_002024,苏宁易购
2020-01-20,SZ_002027,分众传媒
2020-01-20,SZ_002032,苏泊尔
2020-01-20,SZ_002044,美年健康
2020-01-20,SZ_002050,三花智控
2020-01-20,SZ_002081,金螳螂
2020-01-20,SZ_002120,韵达股份
2020-01-20,SZ_002142,宁波银行
2020-01-20,SZ_002146,荣盛发展
2020-01-20,SZ_002153,石基信息
2020-01-20,SZ_002179,中航光电
2020-01-20,SZ_002202,金风科技
2020-01-20,SZ_002230,科大讯飞
2020-01-20,SZ_002236,大华股份
2020-01-20,SZ_002241,歌尔股份
2020-01-20,SZ_002252,上海莱士
2020-01-20,SZ_002271,东方雨虹
2020-01-20,SZ_002294,信立泰
2020-01-20,SZ_002304,洋河股份
2020-01-20,SZ_002311,海大集团
2020-01-20,SZ_002352,顺丰控股
2020-01-20,SZ_002410,广联达
2020-01-20,SZ_002411,延安必康
2020-01-20,SZ_002415,海康威视
2020-01-20,SZ_002422,科伦药业
2020-01-20,SZ_002456,欧菲光
2020-01-20,SZ_002460,赣锋锂业
2020-01-20,SZ_002466,天齐锂业
2020-01-20,SZ_002468,申通快递
2020-01-20,SZ_002475,立讯精密
2020-01-20,SZ_002493,荣盛石化
2020-01-20,SZ_002508,老板电器
2020-01-20,SZ_002555,三七互娱
2020-01-20,SZ_002558,巨人网络
2020-01-20,SZ_002594,比亚迪
2020-01-20,SZ_002601,龙蟒佰利
2020-01-20,SZ_002602,世纪华通
2020-01-20,SZ_002607,中公教育
2020-01-20,SZ_002624,完美世界
2020-01-20,SZ_002673,西部证券
2020-01-20,SZ_002714,牧原股份
2020-01-20,SZ_002736,国信证券
2020-01-20,SZ_002739,万达电影
2020-01-20,SZ_002773,康弘药业
2020-01-20,SZ_002841,视源股份
2020-01-20,SZ_002916,深南电路
2020-01-20,SZ_002938,鹏鼎控股
2020-01-20,SZ_002939,长城证券
2020-01-20,SZ_002945,华林证券
2020-01-20,SZ_002958,青农商行
2020-01-20,SZ_300003,乐普医疗
2020-01-20,SZ_300015,爱尔眼科
2020-01-20,SZ_300017,网宿科技
2020-01-20,SZ_300024,机器人
2020-01-20,SZ_300033,同花顺
2020-01-20,SZ_300059,东方财富
2020-01-20,SZ_300070,碧水源
2020-01-20,SZ_300122,智飞生物
2020-01-20,SZ_300124,汇川技术
2020-01-20,SZ_300136,信维通信
2020-01-20,SZ_300142,沃森生物
2020-01-20,SZ_300144,宋城演艺
2020-01-20,SZ_300347,泰格医药
2020-01-20,SZ_300408,三环集团
2020-01-20,SZ_300413,芒果超媒
2020-01-20,SZ_300433,蓝思科技
2020-01-20,SZ_300498,温氏股份
2020-02-03,SH_600000,浦发银行
2020-02-03,SH_600004,白云机场
2020-02-03,SH_600009,上海机场
2020-02-03,SH_600010,包钢股份
2020-02-03,SH_600011,华能国际
2020-02-03,SH_600015,华夏银行
2020-02-03,SH_600016,民生银行
2020-02-03,SH_600018,上港集团
2020-02-03,SH_600019,宝钢股份
2020-02-03,SH_600023,浙能电力
2020-02-03,SH_600025,华能水电
2020-02-03,SH_600027,华电国际
2020-02-03,SH_600028,中国石化
2020-02-03,SH_600029,南方航空
2020-02-03,SH_600030,中信证券
2020-02-03,SH_600031,三一重工
2020-02-03,SH_600036,招商银行
2020-02-03,SH_600038,中直股份
2020-02-03,SH_600048,保利地产
2020-02-03,SH_600050,中国联通
2020-02-03,SH_600061,国投资本
2020-02-03,SH_600066,宇通客车
2020-02-03,SH_600068,葛洲坝
2020-02-03,SH_600085,同仁堂
2020-02-03,SH_600089,特变电工
2020-02-03,SH_600100,同方股份
2020-02-03,SH_600104,上汽集团
2020-02-03,SH_600109,国金证券
2020-02-03,SH_600111,北方稀土
2020-02-03,SH_600115,东方航空
2020-02-03,SH_600118,中国卫星
2020-02-03,SH_600153,建发股份
2020-02-03,SH_600170,上海建工
2020-02-03,SH_600176,中国巨石
2020-02-03,SH_600177,雅戈尔
2020-02-03,SH_600183,生益科技
2020-02-03,SH_600188,兖州煤业
2020-02-03,SH_600196,复星医药
2020-02-03,SH_600208,新湖中宝
2020-02-03,SH_600219,南山铝业
2020-02-03,SH_600221,海航控股
2020-02-03,SH_600233,圆通速递
2020-02-03,SH_600271,航天信息
2020-02-03,SH_600276,恒瑞医药
2020-02-03,SH_600297,广汇汽车
2020-02-03,SH_600299,安迪苏
2020-02-03,SH_600309,万华化学
2020-02-03,SH_600332,白云山
2020-02-03,SH_600340,华夏幸福
2020-02-03,SH_600346,恒力石化
2020-02-03,SH_600352,浙江龙盛
2020-02-03,SH_600362,江西铜业
2020-02-03,SH_600369,西南证券
2020-02-03,SH_600372,中航电子
2020-02-03,SH_600383,金地集团
2020-02-03,SH_600390,五矿资本
2020-02-03,SH_600398,海澜之家
2020-02-03,SH_600406,国电南瑞
2020-02-03,SH_600436,片仔癀
2020-02-03,SH_600438,通威股份
2020-02-03,SH_600482,中国动力
2020-02-03,SH_600487,亨通光电
2020-02-03,SH_600489,中金黄金
2020-02-03,SH_600498,烽火通信
2020-02-03,SH_600516,方大炭素
2020-02-03,SH_600519,贵州茅台
2020-02-03,SH_600522,中天科技
2020-02-03,SH_600535,天士力
2020-02-03,SH_600547,山东黄金
2020-02-03,SH_600566,济川药业
2020-02-03,SH_600570,恒生电子
2020-02-03,SH_600583,海油工程
2020-02-03,SH_600585,海螺水泥
2020-02-03,SH_600588,用友网络
2020-02-03,SH_600606,绿地控股
2020-02-03,SH_600637,东方明珠
2020-02-03,SH_600655,豫园股份
2020-02-03,SH_600660,福耀玻璃
2020-02-03,SH_600663,陆家嘴
2020-02-03,SH_600674,川投能源
2020-02-03,SH_600690,海尔智家
2020-02-03,SH_600703,三安光电
2020-02-03,SH_600705,中航资本
2020-02-03,SH_600733,北汽蓝谷
2020-02-03,SH_600741,华域汽车
2020-02-03,SH_600760,中航沈飞
2020-02-03,SH_600795,国电电力
2020-02-03,SH_600809,山西汾酒
2020-02-03,SH_600816,安信信托
2020-02-03,SH_600837,海通证券
2020-02-03,SH_600848,上海临港
2020-02-03,SH_600867,通化东宝
2020-02-03,SH_600886,国投电力
2020-02-03,SH_600887,伊利股份
2020-02-03,SH_600893,航发动力
2020-02-03,SH_600900,长江电力
2020-02-03,SH_600919,江苏银行
2020-02-03,SH_600926,杭州银行
2020-02-03,SH_600928,西安银行
2020-02-03,SH_600958,东方证券
2020-02-03,SH_600968,海油发展
2020-02-03,SH_600977,中国电影
2020-02-03,SH_600989,宝丰能源
2020-02-03,SH_600998,九州通
2020-02-03,SH_600999,招商证券
2020-02-03,SH_601006,大秦铁路
2020-02-03,SH_601009,南京银行
2020-02-03,SH_601012,隆基股份
2020-02-03,SH_601018,宁波港
2020-02-03,SH_601021,春秋航空
2020-02-03,SH_601066,中信建投
2020-02-03,SH_601088,中国神华
2020-02-03,SH_601108,财通证券
2020-02-03,SH_601111,中国国航
2020-02-03,SH_601117,中国化学
2020-02-03,SH_601138,工业富联
2020-02-03,SH_601155,新城控股
2020-02-03,SH_601162,天风证券
2020-02-03,SH_601166,兴业银行
2020-02-03,SH_601169,北京银行
2020-02-03,SH_601186,中国铁建
2020-02-03,SH_601198,东兴证券
2020-02-03,SH_601211,国泰君安
2020-02-03,SH_601212,白银有色
2020-02-03,SH_601216,君正集团
2020-02-03,SH_601225,陕西煤业
2020-02-03,SH_601229,上海银行
2020-02-03,SH_601236,红塔证券
2020-02-03,SH_601238,广汽集团
2020-02-03,SH_601288,农业银行
2020-02-03,SH_601298,青岛港
2020-02-03,SH_601318,中国平安
2020-02-03,SH_601319,中国人保
2020-02-03,SH_601328,交通银行
2020-02-03,SH_601336,新华保险
2020-02-03,SH_601360,三六零
2020-02-03,SH_601377,兴业证券
2020-02-03,SH_601390,中国中铁
2020-02-03,SH_601398,工商银行
2020-02-03,SH_601555,东吴证券
2020-02-03,SH_601577,长沙银行
2020-02-03,SH_601600,中国铝业
2020-02-03,SH_601601,中国太保
2020-02-03,SH_601607,上海医药
2020-02-03,SH_601618,中国中冶
2020-02-03,SH_601628,中国人寿
2020-02-03,SH_601633,长城汽车
2020-02-03,SH_601668,中国建筑
2020-02-03,SH_601669,中国电建
2020-02-03,SH_601688,华泰证券
2020-02-03,SH_601698,中国卫通
2020-02-03,SH_601727,上海电气
2020-02-03,SH_601766,中国中车
2020-02-03,SH_601788,光大证券
2020-02-03,SH_601800,中国交建
2020-02-03,SH_601808,中海油服
2020-02-03,SH_601818,光大银行
2020-02-03,SH_601828,美凯龙
2020-02-03,SH_601838,成都银行
2020-02-03,SH_601857,中国石油
2020-02-03,SH_601877,正泰电器
2020-02-03,SH_601878,浙商证券
2020-02-03,SH_601881,中国银河
2020-02-03,SH_601888,中国国旅
2020-02-03,SH_601898,中煤能源
2020-02-03,SH_601899,紫金矿业
2020-02-03,SH_601901,方正证券
2020-02-03,SH_601919,中远海控
2020-02-03,SH_601933,永辉超市
2020-02-03,SH_601939,建设银行
2020-02-03,SH_601985,中国核电
2020-02-03,SH_601988,中国银行
2020-02-03,SH_601989,中国重工
2020-02-03,SH_601992,金隅集团
2020-02-03,SH_601997,贵阳银行
2020-02-03,SH_601998,中信银行
2020-02-03,SH_603019,中科曙光
2020-02-03,SH_603156,养元饮品
2020-02-03,SH_603160,汇顶科技
2020-02-03,SH_603259,药明康德
2020-02-03,SH_603260,合盛硅业
2020-02-03,SH_603288,海天味业
2020-02-03,SH_603501,韦尔股份
2020-02-03,SH_603799,华友钴业
2020-02-03,SH_603833,欧派家居
2020-02-03,SH_603899,晨光文具
2020-02-03,SH_603986,兆易创新
2020-02-03,SH_603993,洛阳钼业
2020-02-03,SZ_000001,平安银行
2020-02-03,SZ_000002,万科A
2020-02-03,SZ_000063,中兴通讯
2020-02-03,SZ_000069,华侨城A
2020-02-03,SZ_000100,TCL集团
2020-02-03,SZ_000157,中联重科
2020-02-03,SZ_000166,申万宏源
2020-02-03,SZ_000333,美的集团
2020-02-03,SZ_000338,潍柴动力
2020-02-03,SZ_000413,东旭光电
2020-02-03,SZ_000415,渤海租赁
2020-02-03,SZ_000423,东阿阿胶
2020-02-03,SZ_000425,徐工机械
2020-02-03,SZ_000538,云南白药
2020-02-03,SZ_000568,泸州老窖
2020-02-03,SZ_000596,古井贡酒
2020-02-03,SZ_000625,长安汽车
2020-02-03,SZ_000627,天茂集团
2020-02-03,SZ_000629,攀钢钒钛
2020-02-03,SZ_000630,铜陵有色
2020-02-03,SZ_000651,格力电器
2020-02-03,SZ_000656,金科股份
2020-02-03,SZ_000661,长春高新
2020-02-03,SZ_000671,阳光城
2020-02-03,SZ_000703,恒逸石化
2020-02-03,SZ_000709,河钢股份
2020-02-03,SZ_000723,美锦能源
2020-02-03,SZ_000725,京东方A
2020-02-03,SZ_000728,国元证券
2020-02-03,SZ_000768,中航飞机
2020-02-03,SZ_000776,广发证券
2020-02-03,SZ_000783,长江证券
2020-02-03,SZ_000786,北新建材
2020-02-03,SZ_000858,五粮液
2020-02-03,SZ_000876,新希望
2020-02-03,SZ_000895,双汇发展
2020-02-03,SZ_000898,鞍钢股份
2020-02-03,SZ_000938,紫光股份
2020-02-03,SZ_000961,中南建设
2020-02-03,SZ_000963,华东医药
2020-02-03,SZ_001979,招商蛇口
2020-02-03,SZ_002001,新和成
2020-02-03,SZ_002007,华兰生物
2020-02-03,SZ_002008,大族激光
2020-02-03,SZ_002010,传化智联
2020-02-03,SZ_002024,苏宁易购
2020-02-03,SZ_002027,分众传媒
2020-02-03,SZ_002032,苏泊尔
2020-02-03,SZ_002044,美年健康
2020-02-03,SZ_002050,三花智控
2020-02-03,SZ_002081,金螳螂
2020-02-03,SZ_002120,韵达股份
2020-02-03,SZ_002142,宁波银行
2020-02-03,SZ_002146,荣盛发展
2020-02-03,SZ_002153,石基信息
2020-02-03,SZ_002179,中航光电
2020-02-03,SZ_002202,金风科技
2020-02-03,SZ_002230,科大讯飞
2020-02-03,SZ_002236,大华股份
2020-02-03,SZ_002241,歌尔股份
2020-02-03,SZ_002252,上海莱士
2020-02-03,SZ_002271,东方雨虹
2020-02-03,SZ_002294,信立泰
2020-02-03,SZ_002304,洋河股份
2020-02-03,SZ_002311,海大集团
2020-02-03,SZ_002352,顺丰控股
2020-02-03,SZ_002410,广联达
2020-02-03,SZ_002411,延安必康
2020-02-03,SZ_002415,海康威视
2020-02-03,SZ_002422,科伦药业
2020-02-03,SZ_002456,欧菲光
2020-02-03,SZ_002460,赣锋锂业
2020-02-03,SZ_002466,天齐锂业
2020-02-03,SZ_002468,申通快递
2020-02-03,SZ_002475,立讯精密
2020-02-03,SZ_002493,荣盛石化
2020-02-03,SZ_002508,老板电器
2020-02-03,SZ_002555,三七互娱
2020-02-03,SZ_002558,巨人网络
2020-02-03,SZ_002594,比亚迪
2020-02-03,SZ_002601,龙蟒佰利
2020-02-03,SZ_002602,世纪华通
2020-02-03,SZ_002607,中公教育
2020-02-03,SZ_002624,完美世界
2020-02-03,SZ_002673,西部证券
2020-02-03,SZ_002714,牧原股份
2020-02-03,SZ_002736,国信证券
2020-02-03,SZ_002739,万达电影
2020-02-03,SZ_002773,康弘药业
2020-02-03,SZ_002841,视源股份
2020-02-03,SZ_002916,深南电路
2020-02-03,SZ_002938,鹏鼎控股
2020-02-03,SZ_002939,长城证券
2020-02-03,SZ_002945,华林证券
2020-02-03,SZ_002958,青农商行
2020-02-03,SZ_300003,乐普医疗
2020-02-03,SZ_300015,爱尔眼科
2020-02-03,SZ_300017,网宿科技
2020-02-03,SZ_300024,机器人
2020-02-03,SZ_300033,同花顺
2020-02-03,SZ_300059,东方财富
2020-02-03,SZ_300070,碧水源
2020-02-03,SZ_300122,智飞生物
2020-02-03,SZ_300124,汇川技术
2020-02-03,SZ_300136,信维通信
2020-02-03,SZ_300142,沃森生物
2020-02-03,SZ_300144,宋城演艺
2020-02-03,SZ_300347,泰格医药
2020-02-03,SZ_300408,三环集团
2020-02-03,SZ_300413,芒果超媒
2020-02-03,SZ_300433,蓝思科技
2020-02-03,SZ_300498,温氏股份
2020-02-10,SH_600000,浦发银行
2020-02-10,SH_600004,白云机场
2020-02-10,SH_600009,上海机场
2020-02-10,SH_600010,包钢股份
2020-02-10,SH_600011,华能国际
2020-02-10,SH_600015,华夏银行
2020-02-10,SH_600016,民生银行
2020-02-10,SH_600018,上港集团
2020-02-10,SH_600019,宝钢股份
2020-02-10,SH_600023,浙能电力
2020-02-10,SH_600025,华能水电
2020-02-10,SH_600027,华电国际
2020-02-10,SH_600028,中国石化
2020-02-10,SH_600029,南方航空
2020-02-10,SH_600030,中信证券
2020-02-10,SH_600031,三一重工
2020-02-10,SH_600036,招商银行
2020-02-10,SH_600038,中直股份
2020-02-10,SH_600048,保利地产
2020-02-10,SH_600050,中国联通
2020-02-10,SH_600061,国投资本
2020-02-10,SH_600066,宇通客车
2020-02-10,SH_600068,葛洲坝
2020-02-10,SH_600085,同仁堂
2020-02-10,SH_600089,特变电工
2020-02-10,SH_600100,同方股份
2020-02-10,SH_600104,上汽集团
2020-02-10,SH_600109,国金证券
2020-02-10,SH_600111,北方稀土
2020-02-10,SH_600115,东方航空
2020-02-10,SH_600118,中国卫星
2020-02-10,SH_600153,建发股份
2020-02-10,SH_600170,上海建工
2020-02-10,SH_600176,中国巨石
2020-02-10,SH_600177,雅戈尔
2020-02-10,SH_600183,生益科技
2020-02-10,SH_600188,兖州煤业
2020-02-10,SH_600196,复星医药
2020-02-10,SH_600208,新湖中宝
2020-02-10,SH_600219,南山铝业
2020-02-10,SH_600221,海航控股
2020-02-10,SH_600233,圆通速递
2020-02-10,SH_600271,航天信息
2020-02-10,SH_600276,恒瑞医药
2020-02-10,SH_600297,广汇汽车
2020-02-10,SH_600299,安迪苏
2020-02-10,SH_600309,万华化学
2020-02-10,SH_600332,白云山
2020-02-10,SH_600340,华夏幸福
2020-02-10,SH_600346,恒力石化
2020-02-10,SH_600352,浙江龙盛
2020-02-10,SH_600362,江西铜业
2020-02-10,SH_600369,西南证券
2020-02-10,SH_600372,中航电子
2020-02-10,SH_600383,金地集团
2020-02-10,SH_600390,五矿资本
2020-02-10,SH_600398,海澜之家
2020-02-10,SH_600406,国电南瑞
2020-02-10,SH_600436,片仔癀
2020-02-10,SH_600438,通威股份
2020-02-10,SH_600482,中国动力
2020-02-10,SH_600487,亨通光电
2020-02-10,SH_600489,中金黄金
2020-02-10,SH_600498,烽火通信
2020-02-10,SH_600516,方大炭素
2020-02-10,SH_600519,贵州茅台
2020-02-10,SH_600522,中天科技
2020-02-10,SH_600535,天士力
2020-02-10,SH_600547,山东黄金
2020-02-10,SH_600566,济川药业
2020-02-10,SH_600570,恒生电子
2020-02-10,SH_600583,海油工程
2020-02-10,SH_600585,海螺水泥
2020-02-10,SH_600588,用友网络
2020-02-10,SH_600606,绿地控股
2020-02-10,SH_600637,东方明珠
2020-02-10,SH_600655,豫园股份
2020-02-10,SH_600660,福耀玻璃
2020-02-10,SH_600663,陆家嘴
2020-02-10,SH_600674,川投能源
2020-02-10,SH_600690,海尔智家
2020-02-10,SH_600703,三安光电
2020-02-10,SH_600705,中航资本
2020-02-10,SH_600733,北汽蓝谷
2020-02-10,SH_600741,华域汽车
2020-02-10,SH_600760,中航沈飞
2020-02-10,SH_600795,国电电力
2020-02-10,SH_600809,山西汾酒
2020-02-10,SH_600816,安信信托
2020-02-10,SH_600837,海通证券
2020-02-10,SH_600848,上海临港
2020-02-10,SH_600867,通化东宝
2020-02-10,SH_600886,国投电力
2020-02-10,SH_600887,伊利股份
2020-02-10,SH_600893,航发动力
2020-02-10,SH_600900,长江电力
